Odorscenes,activ 0,activ 1,activ 2,activ 3,activ 4,activ 5,activ 6,activ 7,activ 8,activ 9,activ 10,activ 11,activ 12,activ 13,activ 14,activ 15,activ 16,activ 17,activ 18,activ 19,activ 20,activ 21,activ 22,activ 23,activ 24,activ 25,activ 26,activ 27,activ 28,activ 29,occ 0,occ 1,occ 2,occ 3,occ 4,occ 5,occ 6,occ 7,occ 8,occ 9,occ 10,occ 11,occ 12,occ 13,occ 14,occ 15,occ 16,occ 17,occ 18,occ 19,occ 20,occ 21,occ 22,occ 23,occ 24,occ 25,occ 26,occ 27,occ 28,occ 29,odoAmt 0,odoAmt 1,odoAmt 2,odoAmt 3,odoAmt 4,odoAmt 5,odoAmt 6,odoAmt 7,odoAmt 8,odoAmt 9,odoAmt 10,odoAmt 11,odoAmt 12,odoAmt 13,odoAmt 14,odoAmt 15,odoAmt 16,odoAmt 17,odoAmt 18,odoAmt 19,odoAmt 20,odoAmt 21,odoAmt 22,odoAmt 23,odoAmt 24,odoAmt 25,odoAmt 26,odoAmt 27,odoAmt 28,odoAmt 29
Odorscene1,0.5,0.0024131980718452148,3.6359531353861996e-12,2.3816200951111502e-14,9.541825989634032e-10,6.705783643655261e-17,0.00023786722491413542,4.910607132518446e-16,4.292511078148921e-14,4.7252373369201617e-14,2.8374433924354398e-12,1.618647262858192e-17,2.10867119527411e-12,7.703792061807787e-13,0.273394442664173,1.5317337901780558e-15,7.059361359462228e-13,2.2226898775770432e-13,3.050384278931305e-10,6.216898721521831e-12,1.9163263769766835e-12,7.539780440091635e-13,2.2324937534802914e-11,2.9548955373310206e-06,1.091008452517281e-13,1.3697761767176361e-18,3.8484447771604185e-12,1.681446951879634e-13,2.435724742105298e-15,6.460903278961171e-15,0.5,0.0032079326128083186,1.473879507571765e-10,1.2147466498552834e-10,4.800488356857951e-09,1.0007237808811787e-10,0.0004110126070622355,1.0004167210717268e-10,1.0064641188840397e-10,1.0049196670948138e-10,1.8849606304459186e-10,1.0000275453841215e-10,1.754438595788472e-10,1.103066642730895e-10,0.2887461302924643,1.0011492831975038e-10,1.411496944158357e-10,1.2809568842844732e-10,8.405960641149388e-09,3.5979961092617393e-10,1.8621278531696095e-10,1.1248305927221064e-10,1.7129475776845303e-09,1.2259670293623138e-05,1.7763870845978948e-10,1.0000055813418922e-10,2.8191360264589774e-10,1.0289319752999402e-10,1.0002146409197742e-10,1.0497881961585575e-10,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Odorscene2,2.0204684975078124e-14,3.7874418891037157e-13,1.838162195717682e-08,1.8355649816825964e-10,0.2607462784846004,0.00012144688854946656,5.366917596708568e-06,9.606529904841002e-13,3.518102540420735e-06,1.0769234217269839e-13,5.368624943570875e-11,0.032295920675919534,3.0341742511264607e-11,0.00015218788601587284,4.9207839911146016e-05,1.578037686893033e-10,4.7064944421869325e-11,0.4858871365582468,9.361129524760796e-13,6.837023037489934e-10,1.0921983856605049e-13,6.130662027688107e-09,7.829209138063328e-12,2.6027665128157597e-09,1.934956637998082e-09,0.002306980888410555,6.377324318676727e-13,2.08368522259402e-12,0.0006150406654650252,3.969991654639124e-15,2.0026185910326715e-10,2.728553956457163e-10,8.641386514304685e-08,6.705650906946845e-09,0.2719781158440529,0.00027763172078500533,2.036505502537505e-05,2.3454882116923603e-10,6.855646054272904e-06,2.4724076030244457e-10,1.3850175945575746e-09,0.03752801584592638,4.911468678074562e-10,0.00033986785768292673,7.979481293739725e-05,1.367139623498275e-09,6.438538703195316e-10,0.48721603459745827,2.1635899844560904e-10,6.625060153742448e-09,2.083296512988489e-10,2.273131877116533e-08,3.211983709466892e-10,1.3429282520833384e-08,3.5325955677023406e-08,0.0037620955042109512,2.1020500886948511e-10,6.264980498304935e-10,0.00085930294801389,2.0013291534667178e-10,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0
Odorscene3,6.772809518744128e-13,0.001667169966868615,1.145783866749197e-05,1.5422509957147466e-12,2.046134694728926e-08,1.2074022310424444e-08,2.9888444639049496e-10,5.181978792467491e-10,1.1441311538811993e-10,2.992997065954094e-13,3.688203725629597e-11,0.42608938238041105,3.1349375594414996e-14,9.996998814461278e-11,7.400090859096827e-10,7.806387064687527e-12,0.0008829115303694207,0.0680607363425141,4.509891964131713e-05,1.9465461746197045e-05,1.1774937244170585e-09,1.2555598988876833e-12,6.729096128626667e-14,1.0802798412352476e-15,1.4675873829210919e-08,1.70561845608651e-08,3.359556818572534e-08,1.6326860924038785e-10,1.3619953350610475e-06,1.5235589652412105e-13,3.183167693843837e-10,0.0022801138744987684,2.53115042823799e-05,3.246106640649591e-10,1.7408912751982349e-07,8.689708324692835e-08,2.6617693467270963e-09,9.33503958575999e-09,1.6580767983131512e-09,4.636929511224123e-10,8.421830722004521e-10,0.43421016455977085,3.124610958423039e-10,1.071220375862697e-09,1.728650969898206e-08,6.457391397220141e-10,0.0012221350391149908,0.08548531337857561,9.342036078515742e-05,3.836643626039829e-05,2.1969763536419588e-08,3.2030117050991783e-10,3.031116997434589e-10,3.0005760154353283e-10,5.9422563521022035e-08,1.8101925157991354e-07,1.0284871859860557e-07,1.474191699842023e-09,6.310690947997016e-06,3.957862950523394e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0
Odorscene4,4.975776043446535e-11,3.399689855617233e-13,2.1171825813023577e-09,1.0939893014138327e-10,5.947999801438635e-12,9.462329343226132e-10,1.6190246064680365e-11,4.706956572045297e-08,7.289071277237786e-13,3.191518238249184e-08,2.4742747547998824e-09,2.473675654743032e-10,1.2384741585409577e-12,1.293119965113859e-07,1.359059089917541e-05,4.2802748642161533e-10,2.1833712374962844e-05,1.887288287224249e-09,0.0009921295029183307,8.685571218777487e-07,4.01536307564149e-06,3.5989843937541606e-05,1.080635562319575e-11,8.7477656452655e-10,4.707855206453532e-13,8.49437770627875e-12,7.77857485942478e-13,3.250513583144895e-09,2.842403496450541e-07,1.5358978932015552e-11,1.1109252891525782e-09,5.365028593068832e-10,9.55810205973954e-09,4.313713125836323e-09,1.1508332764904898e-09,9.123814145689893e-09,6.275615723730787e-10,3.0236675859985906e-07,4.4327827487717646e-10,1.3578151948009393e-07,4.16607842264092e-08,2.605549662912696e-09,4.229599756309287e-10,3.950987940305422e-07,2.456290670501454e-05,7.975581657069998e-09,3.775948112899057e-05,1.6635766282816032e-08,0.0018891864256732293,1.8865617300912542e-06,8.11266164229822e-06,9.687297105474543e-05,6.682244982157724e-10,5.973238267437116e-09,4.1350991360308337e-10,1.232888871227849e-09,6.322934875631823e-10,4.475343003966733e-08,1.6143594387838176e-06,8.825206199188214e-10,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0
Odorscene5,1.4203856932940247e-12,0.005771163017623818,0.0008047387422821952,4.455836101180652e-06,3.150216416599126e-05,2.190747265355846e-06,3.2197328353924343e-12,0.000263145765597305,4.7037066928891366e-07,4.9398425218538904e-08,0.000365049295061041,1.0065124674561048e-06,0.005371052344465144,3.6110687085938925e-09,8.927781156136393e-10,8.969486516653643e-11,1.629605852692046e-05,0.1502890237936184,0.0035461929062386003,0.057395453247500255,0.01649339135164231,0.0006896848688276938,2.343652335574336e-06,6.252065116321262e-05,5.838341192531155e-12,0.00018127852929099433,1.561706970819056e-11,1.3738242926430133e-11,0.0005199523162162311,1.8434275277024552e-11,6.661233441736227e-10,0.00928809777131815,0.0012796788192396514,1.63838864529563e-05,7.601808050726081e-05,9.32804032589569e-06,9.226149821530071e-10,0.0003842227972859684,1.7007695991041059e-06,2.741341385875977e-07,0.0005232305525752588,2.739822350037415e-06,0.007277756732633563,3.138043717324815e-08,7.488089678861652e-09,2.317593110913741e-09,3.0313449361056014e-05,0.1608442382351406,0.005439243269357384,0.0733646003803436,0.021258978821323528,0.0013925264889419753,6.313522083019775e-06,0.00015061058767729737,7.636630692166013e-10,0.00039063990860273664,7.56453046012326e-10,1.137960536789713e-09,0.000733113179255792,1.6694250629066533e-09,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,5.0,4.0,3.0,1.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0
Odorscene6,1.0498684085105227e-05,3.836211609495469e-08,6.349486159365387e-13,0.0025165608708008873,0.07626754824054068,1.5069137308787149e-05,0.21780203132883116,3.358686123535765e-09,0.4850015181200479,1.4469911341157305e-11,8.327899863508331e-07,3.715390511746525e-12,0.010912818791214321,0.00015661716131777637,0.007843099533271485,0.006632958489320082,0.05074179031566434,9.209050825819452e-06,0.0001022814308406708,1.2328434681979994e-10,3.76090211520316e-08,1.4829420408289949e-09,0.13818417480753126,0.009552169099795647,0.27465290819429716,3.6348224017446345e-08,1.2972867695247803e-08,3.487809482902182e-06,0.009652771042432898,1.1238779773899386e-08,1.8780859973754714e-05,2.4453264065427183e-07,7.418487497124201e-10,0.004020217336484428,0.0864432775697398,4.8108434946173974e-05,0.2422003209592146,5.290182126562516e-08,0.48710884530560367,1.4058567803307586e-09,2.320828195055253e-06,8.003934284733294e-10,0.01367092774766734,0.00039373846517834596,0.011979448431393262,0.01046350068893624,0.06251619837439194,2.8725000435823754e-05,0.00017113189798045116,5.698701996074343e-09,2.0713461573611341e-07,2.527180898215103e-08,0.1576977650734868,0.01385650629067414,0.2912927236806573,2.3437873930458944e-07,1.462236008254942e-07,6.731286833574859e-06,0.011732911725693074,1.316995789354874e-07,0.0,4.0,0.0,0.0,1.0,2.0,0.0,7.0,7.0,5.0,0.0,5.0,4.0,6.0,5.0,5.0,3.0,1.0,7.0,6.0,5.0,0.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,1.0
Odorscene7,0.015848160622210408,7.59017507720963e-07,3.5368517381629965e-08,0.00039220699664895264,1.0438196531436347e-09,0.2803035689729689,0.014938402232327713,0.0015319117354229697,6.1251662327761e-11,0.001272150099553602,0.001973971552790423,0.4604682584360915,0.00019724418976027142,3.672221624710147e-07,1.655086653049653e-05,5.3386674993651815e-06,7.621270751387158e-11,0.00095427762552103,1.326294154854828e-07,0.2019869364071335,0.11713645179868229,0.00010054084246379138,0.009437990696161535,2.5497747318268887e-12,0.01755986604085812,0.038059616339538097,2.05443539828154e-06,1.4532185953487203e-05,4.288503854792714e-06,4.605335896062553e-08,0.022798511868449924,4.310711001806979e-06,2.1627036482828915e-07,0.0007362901981292953,2.3081400627858694e-08,0.2994022813907971,0.020881890760489834,0.0028028347676756823,2.8088461567254746e-09,0.0023067302189082746,0.002730666590571985,0.4662558638987842,0.0004603411775800018,9.577979048627545e-07,4.775534274940957e-05,1.0036587374067938e-05,3.4948602654668242e-09,0.0012981267888192718,3.560970243142347e-07,0.22566285896242874,0.12677966956376882,0.0002531338590811309,0.014385673912355153,1.2451268845623244e-09,0.025215135305858824,0.04354788842226931,6.492714241523574e-06,4.764617289383528e-05,9.533878490751291e-06,3.875249167805515e-07,1.0,4.0,0.0,1.0,3.0,2.0,1.0,6.0,7.0,6.0,3.0,4.0,3.0,4.0,6.0,6.0,1.0,2.0,9.0,5.0,3.0,1.0,4.0,5.0,7.0,3.0,7.0,7.0,5.0,2.0
Odorscene8,3.724658740194829e-10,5.559707039230588e-06,0.4110845013796583,6.771546884634957e-06,1.188147405788181e-11,4.5768573016776624e-07,1.052677871431701e-07,3.1062928709659755e-05,0.016720603177904157,6.309054172807906e-09,0.3735376402714473,0.013381178486462815,0.17590239782160924,0.0017194630085187999,2.854143434664854e-05,0.19813738880580564,0.1261069580030194,2.8296561443341293e-05,4.549020811154564e-11,0.00015739540967433504,9.346510164775366e-05,5.492664498770161e-08,5.8298096239637295e-05,0.4862492987902292,6.028119883835564e-07,3.840223253698613e-09,4.130905848890574e-09,0.0002440616809355321,0.4436488379202424,0.2731825272622757,7.014387918617789e-09,1.867941556594772e-05,0.416630067090244,2.101921365020089e-05,1.8358525530555806e-09,2.3838367289153273e-06,5.83488414841853e-07,5.7080364983699556e-05,0.022226388339088674,2.7148075620864112e-08,0.38099777210818275,0.016132789982324345,0.2088829603503885,0.002980101004231523,7.767955048682206e-05,0.21102027139348378,0.13684434941203497,5.270690706776927e-05,2.4288311615682e-09,0.00023777171107733835,0.00025751663786564757,3.228679540702336e-07,0.00011225347162995565,0.49293838374186194,1.4805232077663571e-06,1.9369805053955166e-08,2.6990321305153623e-08,0.00038155270283964045,0.447726997037975,0.28979525289081703,6.0,9.0,6.0,6.0,7.0,4.0,3.0,6.0,7.0,3.0,1.0,9.0,8.0,10.0,5.0,5.0,7.0,2.0,14.0,10.0,7.0,4.0,7.0,6.0,7.0,3.0,9.0,6.0,10.0,6.0
Odorscene9,0.47937849381468084,0.016395376502387517,0.5484257360147368,0.3392129460091078,3.3445741962786613e-06,5.442112821165734e-10,2.8354524608358297e-05,0.0004480033384278685,3.0537924202979154e-06,0.3953459492167061,0.00791900314141003,0.009321352001252477,0.0029550342839986163,4.2369518689787803e-05,0.09827513689016155,0.15724993577299087,8.289072674637638e-06,0.0054947546740097206,0.05289844486580999,3.6629919851946697e-06,4.290915718282818e-06,0.4860268116726499,0.006589133489820993,0.12893673224837518,0.019681159458298916,0.08450882641721597,0.056257676461305146,0.06523537733537131,0.15555075782174077,0.20308508645532392,0.48561306519871883,0.019428559983257314,0.5574013390432603,0.3547124288366779,8.723107857202063e-06,1.1631968611508542e-08,6.977937953837485e-05,0.000719481295451853,9.246737520104623e-06,0.40174331891508247,0.009792761222692252,0.014974283850380082,0.004249509890692844,6.980505745711863e-05,0.1132779498894581,0.1794062574413749,2.4947056577085505e-05,0.0069027010818300625,0.06184001042282335,7.563239537259449e-06,1.6234786618022442e-05,0.49006127032297203,0.00874553297128599,0.15152572905334016,0.02581304415928581,0.0932690346121728,0.06871928000057313,0.07290022420145262,0.17851960674292586,0.21404993704084094,9.0,11.0,2.0,10.0,5.0,8.0,8.0,10.0,13.0,8.0,1.0,10.0,8.0,12.0,8.0,10.0,10.0,6.0,19.0,11.0,11.0,8.0,10.0,8.0,13.0,4.0,13.0,11.0,14.0,3.0
Odorscene10,0.2936793639630661,0.009368189634248375,0.2663522039624963,2.930395905988059e-05,0.0005920878355494839,6.151649756957026e-07,0.10499923092369086,0.001664001039164602,0.4913857653843014,0.0020298190186955473,0.0006374531906053072,0.015545251826239215,2.0853099706126614e-05,0.329176133302069,0.002365504935620596,0.006731909165336529,0.0013097411327632324,0.00021381550230347639,0.36384211333682764,0.0005187717369244954,6.900537242028539e-07,0.109769466750119,0.27387188735976664,0.253631807594868,0.011196583203175575,0.010476417539785827,0.317496016790462,0.5082530903212085,1.74537807200801e-05,0.01946355311553799,0.3134637046704852,0.014298084902971128,0.29125718329860445,5.579292712399467e-05,0.0011339227125492732,1.8837045068013123e-06,0.11840093853929787,0.002765497666559595,0.5082780693048269,0.0036526193608432496,0.0011584666874953453,0.019374924674832275,3.917003306844379e-05,0.34148598724186036,0.004250581336099362,0.010792806383190004,0.0017761546184166983,0.00043066184886521563,0.37572216012298,0.0009214645647285975,3.436016999056528e-06,0.13093452009082338,0.28984066860772506,0.2741258503454882,0.017061110980117,0.012984043384005738,0.33985031734654286,0.5229351071678199,3.765949169642113e-05,0.02771454926609642,6.0,13.0,6.0,7.0,8.0,8.0,6.0,14.0,15.0,7.0,2.0,12.0,12.0,16.0,9.0,12.0,11.0,6.0,25.0,17.0,15.0,6.0,13.0,12.0,17.0,5.0,19.0,15.0,16.0,9.0
