Odorscenes, dPsiBar
1,9.839575864724307e-08
2,0.002908162294947871
3,0.0028933891930426215
4,0.011295181588556327
5,0.006900325698894395
7,0.0008220863170167968
10,0.013257402221091303
15,0.015790177369946347
20,0.014611962954530511
25,0.02200778352634311
30,0.02290857105344386
35,0.02642929270626603
40,0.020915387607414578
45,0.024988282416035172
50,0.02339234944195668
60,0.02375120687640261
70,0.022600352350228517
80,0.02347571818169903
90,0.03028986913652943
100,0.029898476941964867
120,0.025693830382869265
140,0.03359914431260949
160,0.04209974784169577
200,0.039726430941397925
250,0.03988456702467032
300,0.03322397637411177
350,0.03643946793101772
400,0.031607981507918215
