Odorscenes,activ 0,activ 1,activ 2,activ 3,activ 4,activ 5,activ 6,activ 7,activ 8,activ 9,activ 10,activ 11,activ 12,activ 13,activ 14,activ 15,activ 16,activ 17,activ 18,activ 19,activ 20,activ 21,activ 22,activ 23,activ 24,activ 25,activ 26,activ 27,activ 28,activ 29,occ 0,occ 1,occ 2,occ 3,occ 4,occ 5,occ 6,occ 7,occ 8,occ 9,occ 10,occ 11,occ 12,occ 13,occ 14,occ 15,occ 16,occ 17,occ 18,occ 19,occ 20,occ 21,occ 22,occ 23,occ 24,occ 25,occ 26,occ 27,occ 28,occ 29,odoAmt 0,odoAmt 1,odoAmt 2,odoAmt 3,odoAmt 4,odoAmt 5,odoAmt 6,odoAmt 7,odoAmt 8,odoAmt 9,odoAmt 10,odoAmt 11,odoAmt 12,odoAmt 13,odoAmt 14,odoAmt 15,odoAmt 16,odoAmt 17,odoAmt 18,odoAmt 19,odoAmt 20,odoAmt 21,odoAmt 22,odoAmt 23,odoAmt 24,odoAmt 25,odoAmt 26,odoAmt 27,odoAmt 28,odoAmt 29
Odorscene1,8.20072870179295e-34,3.709791452974095e-27,4.1883255762931297e-23,1.6029500295286187e-12,4.332306794942197e-27,1.932643588422362e-12,1.2970627898184177e-23,7.153375936797945e-14,8.933798824874159e-19,8.053559988865774e-25,3.260941991120806e-13,1.3364764481114467e-15,1.3775850321698949e-12,1.5182433697635285e-22,2.9167070789736925e-30,2.6595188104667484e-13,7.051467449715714e-10,2.9947031959007676e-06,3.4111019369770255e-17,1.1092593006980512e-12,1.1201652690695116e-11,2.111994662431431e-18,1.3660398763673932e-17,7.529155066075544e-23,1.897856304102382e-15,6.104311392261254e-17,3.211899880451236e-12,1.0182143951333175e-17,1.4465794801214271e-24,6.63754328100834e-07,9.999999999000006e-11,1.0000000003151489e-10,1.0000288834226546e-10,1.395273214840333e-10,1.0000001281859061e-10,1.910086298224923e-10,1.0000000206365385e-10,1.0098359738564418e-10,1.0001768236635564e-10,1.000000121749958e-10,2.347810363706413e-10,1.0000970256655922e-10,3.859084330061433e-10,1.0000284268476205e-10,9.999999999002592e-11,1.0521814501312196e-10,1.4236153320136597e-08,7.95141950541874e-06,1.0000043727789747e-10,1.7915633949934316e-10,8.384623769032211e-10,1.003282258771799e-10,1.0000007008803156e-10,1.0000000000058946e-10,1.0002335211226021e-10,1.0000070699803801e-10,2.774342705712032e-10,1.0026222325267561e-10,1.0000000021106756e-10,2.4297107820803772e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odorscene2,1.4412623316708075e-16,2.145769270049091e-11,3.89402220393881e-17,6.447715780774898e-12,2.4681393533959516e-15,2.16243873071394e-11,2.0727599662720087e-14,1.292541983796604e-12,2.33125554671555e-16,1.945684390674663e-11,1.3571049223595907e-15,9.550652679150586e-11,1.016889959294608e-15,9.85924620074636e-23,1.0006686876007635e-13,1.5044731451941519e-15,2.7491994898729655e-21,1.0495247090788076e-15,1.0982634847473896e-15,8.804908112309601e-15,1.9166729737809773e-07,0.499999999975,1.932936406043694e-17,2.8477969413514323e-10,2.9370762370659844e-15,6.376446812971629e-17,9.563261337540624e-15,7.153594268473271e-20,6.317186397452513e-17,4.4035355571876815e-15,2.000020559553817e-10,4.2568364016281975e-10,2.000436858089433e-10,3.0419384127994263e-10,2.0008985536345117e-10,4.362145704669342e-10,2.1509384594791853e-10,5.28141079026539e-10,2.0000794534312234e-10,1.0520596427681155e-09,2.0001104824491825e-10,1.1757629575356997e-09,2.0001512856762832e-10,2.0000000102078739e-10,2.0320153574834303e-10,2.00095219671055e-10,2.0001808815821233e-10,2.0000704001524578e-10,2.0123892599455972e-10,2.0056856320878958e-10,1.1019594144112706e-06,0.500000000025,2.0141165664721434e-10,4.8840391534026895e-09,2.0045943219735974e-10,2.0000164083906226e-10,2.002642906074247e-10,2.000000125124599e-10,2.0049378604998632e-10,2.0036876282353013e-10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odorscene3,3.8633086191684404e-14,1.344346687885859e-11,7.444296421480947e-16,4.5210915926074465e-11,2.2160402020496512e-13,5.550930523479692e-12,3.0870574996194275e-13,1.362188181510353e-11,3.172444980857717e-16,1.6882116620751239e-12,4.147168895304224e-10,5.09376818221589e-16,4.784562716503324e-10,9.460738007429919e-20,4.5770920136728046e-11,8.011420431765993e-13,2.9291729650436273e-10,1.3467605186158357e-28,5.862367037382844e-13,1.7314898331929149e-06,7.526776117184665e-12,9.897879217664084e-14,2.7926831549370545e-12,2.2058151236963312e-13,2.1269792514978607e-14,0.059810474157354805,3.116247432860024e-14,1.8803003008995755e-13,2.3559877194637823e-20,0.014912346413417392,3.498061187704597e-10,5.573636656946589e-10,3.0000558637958884e-10,1.5321086132578637e-09,4.016959112788087e-10,8.265188551576312e-10,3.8860958276317777e-10,4.5710313037454075e-10,3.022786671469264e-10,3.3899316218567484e-10,2.6653032497617762e-09,3.000108332666443e-10,1.2816055716281945e-08,3.0001303406787923e-10,1.1239005684312367e-09,3.1682940106638423e-10,3.1800725477828306e-09,3.000000001012323e-10,3.28340347178042e-10,3.6918923738409813e-06,3.9993063827667904e-10,3.5670711524106863e-10,5.192327758877965e-10,3.0277175585791755e-10,3.0071754893332994e-10,0.06947152075039476,3.02858658564458e-10,3.0555768051347074e-10,3.000000131820287e-10,0.018267973755870637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Odorscene4,1.3995497321115846e-12,4.879089766487343e-13,2.6590900395199246e-11,1.3989420549386716e-12,0.006407730765158837,5.1226691890030555e-11,1.9172455237761568e-12,2.691990296670464e-12,1.37862319925096e-09,6.490159112787834e-06,0.03501019132215123,1.3084359037030882e-15,0.30511979706850473,1.3492257796152174e-10,6.115378335952809e-11,4.457495580683801e-13,3.417708107099878e-07,3.645522115793287e-16,2.233074396486848e-08,1.8498657868065283e-15,8.310133577127643e-12,3.212274735805909e-07,4.28500055553094e-06,6.261198651560857e-11,0.10026193055106852,5.76074649774645e-10,1.4643090937256383e-13,2.0483628480639548e-07,1.751690321092497e-11,9.237986054398926e-14,4.5037696702063155e-10,4.113172133237088e-10,1.137579683622752e-09,4.213337171972944e-10,0.009751830555004254,1.0314653128227827e-09,4.970210879608415e-10,4.727013480727442e-10,7.128194473576665e-09,1.9841332885498018e-05,0.04357661565135955,4.001327521320595e-10,0.3260890379527923,3.830739987477894e-09,1.8833490066438086e-09,4.845891946784619e-10,8.446875174788889e-07,4.032875002976849e-10,1.3756847694412342e-07,4.0028536451836075e-10,5.93675253461586e-10,8.989492114903127e-07,1.070735601804604e-05,1.1708844092867416e-09,0.1210798997997414,4.193184707950863e-09,4.036227925626154e-10,1.1577131446967532e-06,7.274236366859194e-10,4.3028380613177155e-10,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odorscene5,0.00023840663193989688,1.2122785943864965e-14,0.003883006106852072,0.0012282019295570133,6.798072216298319e-05,6.538109157271244e-13,1.0139383496144586e-12,6.693036551588921e-10,2.5887321259360346e-13,2.869151010104759e-05,1.6011667049689114e-17,6.53929049911426e-12,9.315287486112214e-12,5.732242119727755e-13,2.8034442490679844e-12,1.1719341900592137e-09,1.976926223145877e-12,2.0712352556367382e-11,2.1591238214186383e-10,2.3249707676586818e-18,2.476466428609039e-10,4.880518583534982e-06,6.143859355410347e-06,1.3908469778543971e-11,2.1267383865523097e-12,8.021008387798782e-10,3.5272421865663284e-11,2.7331104018658166e-08,2.8744227793701254e-13,8.022896579649452e-11,0.0005438540676361655,5.012412793310716e-10,0.004959024520376242,0.0022241937817246427,0.00010734899491750025,5.240106106228665e-10,5.134793637955149e-10,1.2631227756929242e-08,5.04580417322344e-10,6.839630352230381e-05,5.000020429313223e-10,7.281150472801464e-10,8.753261882881689e-10,5.646065929890658e-10,7.780292630807281e-10,1.2616466367634567e-08,7.273007101816133e-10,9.021071913734331e-10,2.0989486160999457e-09,5.000634345129409e-10,5.406465482776082e-09,9.307031849243331e-06,1.2008161505903594e-05,1.3566182452711268e-09,7.352218468447101e-10,8.19328846047913e-09,2.0289068847773576e-09,1.5479959811173742e-07,5.101014702550891e-10,3.2737009789245773e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
Odorscene6,1.9236231671198998e-07,5.800899110975538e-07,0.0003357165314359319,3.437119019365228e-10,1.90101654084951e-10,5.334058529056694e-09,2.1970557241233e-17,6.120471348870107e-08,5.771565238704263e-13,1.7282253117648993e-11,2.2283310644687167e-08,0.009379028566161164,3.916063133610726e-07,8.430374747313842e-13,1.6502940328406834e-05,1.4030701191632268e-13,1.5955882415746905e-11,6.407742539959954e-15,0.004865691964368235,0.013476048917541441,1.8412755666129828e-10,0.0026040484328800364,0.00011443675605303904,9.82146045180994e-09,3.7004049445166104e-13,1.1865762454101485e-11,0.0022774829570185447,9.223541464021468e-13,2.6948204098827095e-09,7.304189927899836e-05,6.606419148765494e-07,2.4076309763062945e-06,0.0005691567481503488,3.359721794045579e-09,6.1108136199013495e-09,2.1683748153955186e-08,7.000293583884107e-10,4.901913823837498e-07,7.188891390011302e-10,9.209773866268536e-10,7.412231264611058e-08,0.013756251819229206,9.362785974496717e-07,7.12663656327169e-10,4.894335101975473e-05,7.470261089820819e-10,1.183850753663213e-09,7.002243658467769e-10,0.0075027350722417325,0.019923941231191653,2.2545514904775124e-09,0.004557693488698677,0.0002646452441641041,3.524821503042363e-08,7.341279259179518e-10,9.102608517054918e-10,0.0037749802662536656,7.903807496428772e-10,1.1970461488515254e-08,0.00013106913115881475,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0
Odorscene7,0.0006286228008469663,9.830725361004588e-10,1.2622740834055063e-06,2.2693556626484878e-09,5.30887594418001e-06,0.2640756987307961,0.0033331299443370888,1.361116509572886e-05,8.461347030435259e-10,2.863577773486325e-08,0.09856539429875211,3.3362477523001946e-12,7.385990143503947e-11,0.0003665394732078012,0.00017910537685311944,0.037862937421786896,0.34676947338290365,2.2167926564013874e-07,4.854137990210743e-05,1.11763564497402e-06,8.806216349086395e-10,1.127823069945193e-06,0.002600016564268848,1.6959270471399577e-08,2.450632852511263e-07,2.5676927762646125e-12,7.788553189391636e-13,7.629191281475043e-14,1.005539661379181e-11,2.919947397666897e-12,0.0009200245381301511,9.835456448470684e-09,3.50835962533563e-06,1.144200226252728e-08,1.812684524841272e-05,0.2749634569073476,0.0056048151006525245,4.288703634093505e-05,5.518520463208873e-09,8.978637795968818e-08,0.11001736674378311,1.3116064810986098e-09,2.9586478748770173e-09,0.0005933671404047423,0.00031754798905518465,0.04817204801255324,0.36343534129347127,7.222236442556217e-07,7.859414223815016e-05,3.5573895039163606e-06,9.83176337081712e-09,4.464035596680212e-06,0.0045448089773048594,1.4142035995696354e-07,1.520042684969077e-06,1.0583420951936798e-09,1.0106145908310389e-09,1.003688328880542e-09,1.2135431448727023e-09,1.150589310728011e-09,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0
Odorscene8,2.1678008838655563e-11,1.484881262516522e-06,0.060881131357820736,0.14479908576591125,6.586294258511245e-05,7.450037892429811e-08,6.452304435850853e-10,1.712469433682512e-12,3.1653974908506105e-09,6.891902754465401e-06,0.0018531451864548432,0.000456073642021369,2.9279594771780184e-06,1.6507465593504425e-06,0.45438703294374055,2.4056679721627124e-10,0.007499230919630584,0.0008414438519342864,0.2636883321424651,0.023286926810107803,0.02940095575094026,8.329680690737731e-06,0.0015208535414563953,2.8775812498011986e-09,0.00018819005915009668,0.0012434813250373348,0.011460523337836944,7.737095818036818e-08,0.014484486856156631,1.7573610492136e-06,1.7542264373085e-09,3.5750411829320075e-06,0.06925189795200842,0.17034542497341995,0.00016039147602049824,3.101437590567665e-07,1.2508168491138837e-08,1.7977296530532507e-09,1.73826402994892e-08,2.248992020081376e-05,0.0026473349523837937,0.0009676618963933188,1.1431670601992427e-05,7.5733973457888886e-06,0.4586052927964944,3.743275904654259e-09,0.009249065055562356,0.0011593358520039564,0.27833688085068475,0.030199707791229703,0.03970890060226415,1.6081120350419488e-05,0.002661051591671182,4.0316450727236905e-08,0.0004117895304628669,0.0017608898292649207,0.01392299125496616,2.1153926313242995e-07,0.01938384162267124,3.9391437335496035e-06,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
Odorscene9,7.322383838580057e-11,0.00018305570703450318,3.589324895509816e-08,4.3247844692393003e-07,0.04771074893366843,0.0125274512976332,0.00021936471807953086,1.9268706233044545e-09,4.314773727525748e-07,1.506831770303754e-08,2.2738942638690484e-05,0.025986685940338056,0.00014681331863998552,0.012463132877966703,2.327533634807889e-07,1.1803741100740958e-05,0.0018627188609084502,4.458842112115388e-08,0.15460012188573646,3.090951098920076e-05,0.03967832530018151,5.3637032886114576e-05,1.1067742861723259e-07,0.42974910815504636,6.163391128003192e-06,0.00010543313076960888,2.184680184594617e-07,2.1541038155677223e-07,1.878493100394337e-07,0.21847954419922913,3.382804819805413e-09,0.0004405301552045637,1.893192306683455e-07,9.983920593177669e-07,0.05380200046318687,0.01834333730435292,0.0004603602867770174,1.3056384768843524e-08,1.327474175566794e-06,5.2434526041207975e-08,4.04489642591651e-05,0.03395762208785751,0.00033370246069391716,0.01827455690800551,1.4463109519276938e-06,3.1343584086565106e-05,0.002461499729705476,1.4809441340350222e-07,0.16610790447534773,7.449178265106844e-05,0.04595470572785145,8.61463677084156e-05,7.9599670775317e-07,0.43687653295083395,1.3737267451339283e-05,0.0002368863622428455,1.1392268866728713e-06,1.245769618847379e-06,8.363191431547761e-07,0.2346503137765796,1.0,2.0,0.0,0.0,5.0,5.0,2.0,4.0,5.0,1.0,0.0,5.0,1.0,1.0,2.0,4.0,1.0,0.0,4.0,4.0,3.0,3.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0
Odorscene10,1.884179951789604e-05,0.0006971135586457541,2.5288045406806823e-05,1.0178815325645422e-05,6.034926837575876e-10,6.739575351585493e-07,0.12661122483574372,4.13845858055795e-08,9.031498728499565e-08,0.07649800909419349,3.017246921932787e-08,0.48471780487206023,2.5791319418918884e-05,0.00018318273158149704,1.7706035587111477e-07,0.0024173047280734473,0.00034940068030029237,0.4237338698085596,3.5196973263523333e-06,6.939233599934933e-07,0.1310287384905224,1.2864570530155228e-08,0.001128968462541809,4.779027442629038e-05,0.0001637326104559967,0.08845198834903642,2.2855992926585644e-07,8.13498907395182e-05,2.4072704568175616e-07,7.492560044584222e-05,5.986690611698496e-05,0.0009825307929078803,6.737218297890219e-05,3.518412921993392e-05,1.9376905503802553e-08,2.4332534337347287e-06,0.1459281341129027,1.6804708295704487e-07,3.209624923306574e-07,0.09279560476487347,2.4227221241340686e-07,0.4863708255564001,7.234195857467606e-05,0.0003949234259355189,5.674722219769089e-07,0.003996343766779853,0.0005851668899051712,0.43028259922235756,1.1295820382910438e-05,3.6232530955225455e-06,0.14582677031429606,5.631154714688372e-08,0.002122160466261144,7.910662260149903e-05,0.0002911907504249312,0.10662402812581864,1.4588423095429828e-06,0.00021263368714110543,1.461482453185218e-06,0.00017512468522021282,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0,1.0,1.0,4.0,2.0,6.0,2.0,1.0,3.0,2.0,3.0,5.0,1.0,3.0,4.0,1.0,1.0
